,authname1,authname2,value
158,Arnold T.,Liu P.Y.,1
159,Arnold T.,Huang C.Y.,1
160,Huang C.Y.,Liu P.Y.,1
161,Moro S.,Pires G.,1
162,Moro S.,Rita P.,2
163,Cortez P.,Moro S.,1
164,Moro S.,Ramos R.F.,2
165,Pires G.,Rita P.,1
166,Cortez P.,Pires G.,1
167,Pires G.,Ramos R.F.,1
168,Cortez P.,Rita P.,1
169,Ramos R.F.,Rita P.,2
170,Cortez P.,Ramos R.F.,1
171,Ernst C.,Woehler J.,1
172,Micheli M.R.,Montecchi M.,1
173,Campana M.,Montecchi M.,1
174,Montecchi M.,Schau H.J.,1
175,Campana M.,Micheli M.R.,1
176,Micheli M.R.,Schau H.J.,1
177,Campana M.,Schau H.J.,1
178,Bergner A.,Hartmann J.,1
179,Hartmann J.,Hildebrand C.,1
180,Park S.K.,Song T.,1
181,Park S.K.,Sela A.,1
182,Sela A.,Song T.,1
183,Balakrishnan M.,Nam J.,1
184,De Freitas J.,Nam J.,1
185,Brooks A.W.,Nam J.,1
186,Balakrishnan M.,De Freitas J.,1
187,Balakrishnan M.,Brooks A.W.,1
188,Brooks A.W.,De Freitas J.,1
189,Mirshafiee M.S.,Sepehri A.,1
190,Markowitz D.M.,Sepehri A.,1
191,Markowitz D.M.,Mirshafiee M.S.,1
192,Pham T.,Septianto F.,1
193,Mathmann F.,Pham T.,2
194,Jin H.S.,Pham T.,2
195,Higgins E.T.,Pham T.,2
196,Mathmann F.,Septianto F.,1
197,Jin H.S.,Septianto F.,1
198,Higgins E.T.,Septianto F.,1
199,Jin H.S.,Mathmann F.,2
200,Higgins E.T.,Mathmann F.,2
201,Higgins E.T.,Jin H.S.,2
202,Wang Y.,Xu X.,1
203,Kuchmaner C.A.,Wang Y.,1
204,Wang Y.,Xu R.,1
205,Kuchmaner C.A.,Xu X.,1
206,Xu R.,Xu X.,1
207,Kuchmaner C.A.,Xu R.,1
208,Jenkins E.L.,Molenaar A.,1
209,Brennan L.,Molenaar A.,1
210,Lukose D.,Molenaar A.,1
211,Adamski M.,Molenaar A.,1
212,McCaffrey T.A.,Molenaar A.,1
213,Brennan L.,Jenkins E.L.,1
214,Jenkins E.L.,Lukose D.,1
215,Adamski M.,Jenkins E.L.,1
216,Jenkins E.L.,McCaffrey T.A.,1
217,Brennan L.,Lukose D.,1
218,Adamski M.,Brennan L.,1
219,Brennan L.,McCaffrey T.A.,1
220,Adamski M.,Lukose D.,1
221,Lukose D.,McCaffrey T.A.,1
222,Adamski M.,McCaffrey T.A.,1
223,Zhang X.,Zhao Z.,1
224,Wang K.,Zhang X.,1
225,Wang K.,Zhao Z.,1
226,Ceylan G.,Diehl K.,1
227,Ceylan G.,Proserpio D.,1
228,Diehl K.,Proserpio D.,1
229,Ray A.,Ray A.,1
230,Bala P.K.,Ray A.,2
231,Rana N.P.,Ray A.,2
232,Bala P.K.,Rana N.P.,1
233,Balech S.,Tandilashvili N.,1
234,Tabatadze M.,Tandilashvili N.,1
235,Balech S.,Tabatadze M.,1
236,Yu B.,Yu B.,2
237,Chuan C.H.,Tsai W.H.S.,1
238,Banker S.,Rathee S.,1
239,Mishra A.,Rathee S.,1
240,Mishra H.,Rathee S.,1
241,Banker S.,Mishra A.,1
242,Banker S.,Mishra H.,1
243,Mishra A.,Mishra H.,1
244,Chen J.,Layous K.,1
245,Chen J.,Wildschut T.,1
246,Chen J.,Sedikides C.,1
247,Layous K.,Wildschut T.,1
248,Layous K.,Sedikides C.,1
249,Sedikides C.,Wildschut T.,1
250,Gursoy D.,Li Y.,1
251,Gursoy D.,Song H.,1
252,Li Y.,Song H.,1
253,Gao H.,Wang L.,1
254,Wang L.,Zhao Y.,1
255,Gao H.,Zhao Y.,1
256,Berger J.,Moe W.W.,1
257,Berger J.,Schweidel D.A.,1
258,Moe W.W.,Schweidel D.A.,1
259,Kim K.H.,Umashankar N.,1
260,Reutterer T.,Umashankar N.,1
261,Kim K.H.,Reutterer T.,1
262,Camilleri E.,Garg N.,1
263,Camilleri E.,Miah S.J.,1
264,Garg N.,Miah S.J.,1
265,Ahmad S.N.,Laroche M.,1
266,Bilro R.G.,Loureiro S.M.C.,3
267,Bilro R.G.,Souto P.,1
268,Loureiro S.M.C.,Souto P.,1
269,Carson S.J.,Dey A.,1
270,Cheng Z.,de Regt A.,1
271,Fawaz R.,de Regt A.,2
272,Cheng Z.,Fawaz R.,1
273,Mathur A.,Mathur A.,1
274,Gruner R.L.,Weismueller J.,1
275,Harrigan P.,Weismueller J.,1
276,Gruner R.L.,Harrigan P.,1
277,Pentina I.,Wen Z.,1
278,Amjad T.,Dent M.M.,1
279,Abu Mansor N.N.,Amjad T.,1
280,Abu Mansor N.N.,Dent M.M.,1
281,Ferreira C.,Robertson J.,1
282,Chohan R.,Ferreira C.,1
283,Ferreira C.,Pitt C.,1
284,Chohan R.,Robertson J.,1
285,Pitt C.,Robertson J.,1
286,Chohan R.,Pitt C.,1
287,Jung M.,Lee Y.L.,1
288,Chung J.E.,Jung M.,1
289,Chung J.E.,Lee Y.L.,1
290,Berger J.,Boghrati R.,3
291,Boghrati R.,Packard G.,3
292,Berger J.,Packard G.,4
293,Kalro A.D.,Srivastava V.,1
294,Raizada G.,Srivastava V.,1
295,Sharma D.,Srivastava V.,1
296,Kalro A.D.,Raizada G.,1
297,Kalro A.D.,Sharma D.,1
298,Raizada G.,Sharma D.,1
299,Ch’ng E.,Wang Q.,1
300,Wang Q.,Xu X.,1
301,Wang J.,Wang Q.,1
302,Wang Q.,Zhang Y.,1
303,Ch’ng E.,Xu X.,1
304,Ch’ng E.,Wang J.,1
305,Ch’ng E.,Zhang Y.,1
306,Wang J.,Xu X.,1
307,Xu X.,Zhang Y.,1
308,Wang J.,Zhang Y.,1
309,Goder A.,Lappeman J.,1
310,Lappeman J.,Naicker K.,1
311,Faruki H.,Lappeman J.,1
312,Gordon P.,Lappeman J.,1
313,Goder A.,Naicker K.,1
314,Faruki H.,Goder A.,1
315,Goder A.,Gordon P.,1
316,Faruki H.,Naicker K.,1
317,Gordon P.,Naicker K.,1
318,Faruki H.,Gordon P.,1
319,Cabiddu F.,Frau M.,1
320,Frau M.,Frigau L.,1
321,Frau M.,Tomczyk P.,1
322,Frau M.,Mola F.,1
323,Cabiddu F.,Frigau L.,1
324,Cabiddu F.,Tomczyk P.,1
325,Cabiddu F.,Mola F.,1
326,Frigau L.,Tomczyk P.,1
327,Frigau L.,Mola F.,1
328,Mola F.,Tomczyk P.,1
329,Einwiller S.,Stürmer L.,1
330,Li X.,Xiao L.,1
331,Xiao L.,Zhang Y.,1
332,Li X.,Zhang Y.,1
333,Wang F.,Xu H.,1
334,Hou R.,Wang F.,1
335,Wang F.,Zhu Z.,1
336,Hou R.,Xu H.,1
337,Xu H.,Zhu Z.,1
338,Hou R.,Zhu Z.,1
339,Li X.,Xu M.,1
340,Li X.,Zeng W.,1
341,Li X.,Tse Y.K.,1
342,Chan H.K.,Li X.,1
343,Xu M.,Zeng W.,1
344,Tse Y.K.,Xu M.,1
345,Chan H.K.,Xu M.,1
346,Tse Y.K.,Zeng W.,1
347,Chan H.K.,Zeng W.,1
348,Chan H.K.,Tse Y.K.,1
349,Wu J.,Zhao N.,1
350,Swilley E.,Walker D.,1
351,Chilton M.A.,Swilley E.,1
352,Chilton M.A.,Walker D.,1
353,Saran S.M.,Shokouhyar S.,1
354,Ahmed Z.,Novera C.N.,1
355,Kushol R.,Novera C.N.,1
356,Novera C.N.,Wanke P.,1
357,Azad M.A.K.,Novera C.N.,1
358,Ahmed Z.,Kushol R.,1
359,Ahmed Z.,Wanke P.,1
360,Ahmed Z.,Azad M.A.K.,1
361,Kushol R.,Wanke P.,1
362,Azad M.A.K.,Kushol R.,1
363,Azad M.A.K.,Wanke P.,1
364,Brandes L.,Dover Y.,1
365,Özer A.,Özer M.,1
366,Ekinci Y.,Özer M.,1
367,Koçak A.,Özer M.,1
368,Ekinci Y.,Özer A.,1
369,Koçak A.,Özer A.,1
370,Ekinci Y.,Koçak A.,1
371,Ballestar M.T.,Martín-Llaguno M.,1
372,Ballestar M.T.,Sainz J.,1
373,Martín-Llaguno M.,Sainz J.,1
374,Alqtati N.,Wilson J.A.J.,1
375,Alqtati N.,De Silva V.,1
376,De Silva V.,Wilson J.A.J.,1
377,Mo Z.,Song X.,1
378,Liu M.T.,Song X.,1
379,Niu B.,Song X.,1
380,Huang L.,Song X.,1
381,Liu M.T.,Mo Z.,1
382,Mo Z.,Niu B.,1
383,Huang L.,Mo Z.,1
384,Liu M.T.,Niu B.,1
385,Huang L.,Liu M.T.,1
386,Huang L.,Niu B.,1
387,Dimitrovski D.,Seočanac M.,1
388,Cooper H.B.,Ewing M.T.,2
389,Cooper H.B.,Mishra S.,1
390,Ewing M.T.,Mishra S.,1
391,Wei Z.,Zhang M.,1
392,Qiao T.,Wei Z.,1
393,Qiao T.,Zhang M.,1
394,Chu W.,Jang H.,1
395,Parsana S.,Shankar V.,1
396,Mao H.,Sun B.,1
397,Sun B.,Yin C.,1
398,Mao H.,Yin C.,1
399,He J.,Wang X.,1
400,Curry D.J.,Wang X.,1
401,Ryoo J.H.,Wang X.,1
402,Curry D.J.,He J.,1
403,He J.,Ryoo J.H.,1
404,Curry D.J.,Ryoo J.H.,1
405,Dubiel A.,Mukherji P.,1
406,Berger J.,Rocklage M.D.,3
407,Packard G.,Rocklage M.D.,3
408,Coussement K.,Meire M.,1
409,De Caigny A.,Meire M.,1
410,Hoornaert S.,Meire M.,1
411,Coussement K.,De Caigny A.,1
412,Coussement K.,Hoornaert S.,1
413,De Caigny A.,Hoornaert S.,1
414,Treen E.,Yu Y.,1
415,Campbell C.,Tsao H.Y.,1
416,Sands S.,Tsao H.Y.,1
417,Mavrommatis A.,Tsao H.Y.,1
418,Campbell C.,Sands S.,1
419,Campbell C.,Mavrommatis A.,1
420,Mavrommatis A.,Sands S.,1
421,Cervantes V.M.,Flores O.M.C.,1
422,Cervera C.M.,Flores O.M.C.,1
423,De la Vega Meneses J.G.,Flores O.M.C.,1
424,Cervantes V.M.,Cervera C.M.,1
425,Cervantes V.M.,De la Vega Meneses J.G.,1
426,Cervera C.M.,De la Vega Meneses J.G.,1
427,Ozansoy Çadırcı T.,Sağkaya Güngör A.,1
428,Ozansoy Çadırcı T.,Ozansoy Çadırcı T.,1
429,Badeges A.M.,Hudaefi F.A.,1
430,Lam J.,Mulvey M.S.,1
431,Lam J.,Robson K.,1
432,Mulvey M.S.,Robson K.,1
433,Ludwig S.,Truong T.(.,1
434,Mooi E.,Truong T.(.,1
435,Bove L.,Truong T.(.,1
436,Ludwig S.,Mooi E.,1
437,Bove L.,Ludwig S.,2
438,Bove L.,Mooi E.,1
439,Quach S.,Thaichon P.,1
440,Ngo L.V.,Thaichon P.,1
441,Ngo L.V.,Quach S.,1
442,Cavique M.,Correia A.,1
443,Cavique M.,Ribeiro R.,1
444,Batista F.,Cavique M.,1
445,Correia A.,Ribeiro R.,1
446,Batista F.,Correia A.,1
447,Batista F.,Ribeiro R.,1
448,Rahimi R.,Thelwall M.,1
449,Okumus F.,Rahimi R.,1
450,Bilgihan A.,Rahimi R.,1
451,Okumus F.,Thelwall M.,1
452,Bilgihan A.,Thelwall M.,1
453,Bilgihan A.,Okumus F.,1
454,Garza R.,Lopez A.,1
455,Alzate M.,Arce-Urriza M.,1
456,Alzate M.,Cebollada J.,1
457,Arce-Urriza M.,Cebollada J.,1
458,Herhausen D.,Ludwig S.,1
459,Grewal D.,Ludwig S.,1
460,Benoit S.,Ludwig S.,1
461,Ludwig S.,de Ruyter K.,1
462,Ludwig S.,Urwin P.,1
