,authname1,authname2,value
0,Kola P.,Mingo I.,1
1,Hartmann J.,Heitmann M.,2
2,Hartmann J.,Schamp C.,2
3,Hartmann J.,Netzer O.,1
4,Heitmann M.,Schamp C.,2
5,Heitmann M.,Netzer O.,1
6,Netzer O.,Schamp C.,1
7,Lee J.k.,Lee J.k.,1
8,Humphreys A.,Isaac M.S.,1
9,Humphreys A.,Wang R.J.H.,2
10,Isaac M.S.,Wang R.J.H.,1
11,Melumad S.,Meyer R.,2
12,Kim Y.D.,Melumad S.,1
13,Kim Y.D.,Meyer R.,2
14,Bright L.F.,Sussman K.L.,1
15,Bright L.F.,Wilcox G.B.,1
16,Sussman K.L.,Wilcox G.B.,1
17,Hou N.,Lebmeier E.,1
18,Lebmeier E.,Spann K.,1
19,Aßenmacher M.,Lebmeier E.,1
20,Hou N.,Spann K.,1
21,Aßenmacher M.,Hou N.,1
22,Aßenmacher M.,Spann K.,1
23,Gross T.W.,Gross T.W.,1
24,Ahmad F.,Guzmán F.,1
25,Aral S.,Dhillon P.S.,1
26,Neneh B.N.,Verkijika S.F.,1
27,Fronzetti Colladon A.,Petruzzellis L.,1
28,Petruzzellis L.,Visentin M.,1
29,Chebat J.C.,Petruzzellis L.,1
30,Fronzetti Colladon A.,Visentin M.,1
31,Chebat J.C.,Fronzetti Colladon A.,1
32,Chebat J.C.,Visentin M.,1
33,Arenas-Márquez F.J.,Sánchez-Franco M.J.,1
34,Alonso-Dos-Santos M.,Sánchez-Franco M.J.,1
35,Alonso-Dos-Santos M.,Arenas-Márquez F.J.,1
36,Cano J.C.,Cecilia J.M.,1
37,Calafate C.T.,Cecilia J.M.,1
38,Cecilia J.M.,Manzoni P.,1
39,Cecilia J.M.,Perinan-Pascual C.,1
40,Arcas-Tunez F.,Cecilia J.M.,1
41,Cecilia J.M.,Munoz-Ortega A.,1
42,Calafate C.T.,Cano J.C.,1
43,Cano J.C.,Manzoni P.,1
44,Cano J.C.,Perinan-Pascual C.,1
45,Arcas-Tunez F.,Cano J.C.,1
46,Cano J.C.,Munoz-Ortega A.,1
47,Calafate C.T.,Manzoni P.,1
48,Calafate C.T.,Perinan-Pascual C.,1
49,Arcas-Tunez F.,Calafate C.T.,1
50,Calafate C.T.,Munoz-Ortega A.,1
51,Manzoni P.,Perinan-Pascual C.,1
52,Arcas-Tunez F.,Manzoni P.,1
53,Manzoni P.,Munoz-Ortega A.,1
54,Arcas-Tunez F.,Perinan-Pascual C.,1
55,Munoz-Ortega A.,Perinan-Pascual C.,1
56,Arcas-Tunez F.,Munoz-Ortega A.,1
57,Bilro R.G.,Loureiro S.M.C.,3
58,Angelino F.J.d.A.,Loureiro S.M.C.,1
59,Angelino F.J.d.A.,Bilro R.G.,1
60,Hovy D.,Melumad S.,1
61,Hovy D.,Inman J.J.,1
62,Inman J.J.,Melumad S.,2
63,Gunasekar S.,Kumar D.S.,1
64,Gunasekar S.,Purani K.,1
65,Gunasekar S.,Sudhakar S.,2
66,Dixit S.K.,Gunasekar S.,1
67,Gunasekar S.,Menon D.,1
68,Kumar D.S.,Purani K.,1
69,Kumar D.S.,Sudhakar S.,1
70,Dixit S.K.,Kumar D.S.,1
71,Kumar D.S.,Menon D.,1
72,Purani K.,Sudhakar S.,1
73,Dixit S.K.,Purani K.,1
74,Menon D.,Purani K.,1
75,Dixit S.K.,Sudhakar S.,1
76,Menon D.,Sudhakar S.,1
77,Dixit S.K.,Menon D.,1
78,Alzate M.,Arce-Urriza M.,1
79,Alzate M.,Cebollada J.,1
80,Arce-Urriza M.,Cebollada J.,1
81,Kadiyali V.,Puranam D.,1
82,Narayan V.,Puranam D.,1
83,Kadiyali V.,Narayan V.,1
84,Jedidi K.,Schmitt B.H.,1
85,Ben Sliman M.,Jedidi K.,1
86,Jedidi K.,Li Y.,1
87,Ben Sliman M.,Schmitt B.H.,1
88,Li Y.,Schmitt B.H.,1
89,Ben Sliman M.,Li Y.,1
90,Ahmadi H.,Nilashi M.,1
91,Arji G.,Nilashi M.,1
92,Alsalem K.O.,Nilashi M.,1
93,Nilashi M.,Samad S.,1
94,Ghabban F.,Nilashi M.,1
95,Alzahrani A.O.,Nilashi M.,1
96,Ahani A.,Nilashi M.,1
97,Alarood A.A.,Nilashi M.,1
98,Ahmadi H.,Arji G.,1
99,Ahmadi H.,Alsalem K.O.,1
100,Ahmadi H.,Samad S.,1
101,Ahmadi H.,Ghabban F.,1
102,Ahmadi H.,Alzahrani A.O.,1
103,Ahani A.,Ahmadi H.,1
104,Ahmadi H.,Alarood A.A.,1
105,Alsalem K.O.,Arji G.,1
106,Arji G.,Samad S.,1
107,Arji G.,Ghabban F.,1
108,Alzahrani A.O.,Arji G.,1
109,Ahani A.,Arji G.,1
110,Alarood A.A.,Arji G.,1
111,Alsalem K.O.,Samad S.,1
112,Alsalem K.O.,Ghabban F.,1
113,Alsalem K.O.,Alzahrani A.O.,1
114,Ahani A.,Alsalem K.O.,1
115,Alarood A.A.,Alsalem K.O.,1
116,Ghabban F.,Samad S.,1
117,Alzahrani A.O.,Samad S.,1
118,Ahani A.,Samad S.,1
119,Alarood A.A.,Samad S.,1
120,Alzahrani A.O.,Ghabban F.,1
121,Ahani A.,Ghabban F.,1
122,Alarood A.A.,Ghabban F.,1
123,Ahani A.,Alzahrani A.O.,1
124,Alarood A.A.,Alzahrani A.O.,1
125,Ahani A.,Alarood A.A.,1
126,Farmer M.,Warren N.L.,1
127,Gu T.,Warren N.L.,1
128,Warren C.,Warren N.L.,1
129,Farmer M.,Gu T.,1
130,Farmer M.,Warren C.,1
131,Gu T.,Warren C.,1
132,Kaplan B.,Milne G.R.,2
133,Milne G.R.,Walker K.L.,1
134,Milne G.R.,Zacharias L.,1
135,Kaplan B.,Walker K.L.,1
136,Kaplan B.,Zacharias L.,1
137,Walker K.L.,Zacharias L.,1
138,Ferreira C.,Robertson J.,1
139,Paschen J.,Robertson J.,1
140,Ferreira C.,Paschen J.,1
141,Berger J.,Kim Y.D.,1
142,Berger J.,Meyer R.,1
143,Feng C.M.,Park A.,1
144,Feng C.M.,Pitt L.,1
145,Feng C.M.,Kietzmann J.,1
146,Feng C.M.,Northey G.,1
147,Park A.,Pitt L.,1
148,Kietzmann J.,Park A.,1
149,Northey G.,Park A.,1
150,Kietzmann J.,Pitt L.,2
151,Northey G.,Pitt L.,1
152,Kietzmann J.,Northey G.,1
153,Faraoni M.,Faraoni M.,1
154,Pechmann C.,Vogel E.A.,1
155,Duclos R.,Sepehri A.,1
156,Kristofferson K.,Sepehri A.,1
157,Sepehri A.,Vinoo P.,1
158,Elahi H.,Sepehri A.,1
159,Duclos R.,Kristofferson K.,1
160,Duclos R.,Vinoo P.,1
161,Duclos R.,Elahi H.,1
162,Kristofferson K.,Vinoo P.,1
163,Elahi H.,Kristofferson K.,1
164,Elahi H.,Vinoo P.,1
165,Caballer-Tarazona M.,Montoro-Pons J.D.,1
166,Cuadrado-García M.,Montoro-Pons J.D.,1
167,Caballer-Tarazona M.,Cuadrado-García M.,1
168,Jalali N.,Moon S.,1
169,Erevelles S.,Moon S.,1
170,Erevelles S.,Jalali N.,1
171,Scheld D.,Stolper O.,1
172,Scheld D.,Walter A.,1
173,Stolper O.,Walter A.,1
174,Sharif M.A.,Woolley K.,1
175,Lin Y.,Yao D.,1
176,Chen X.,Lin Y.,1
177,Chen X.,Yao D.,1
178,Alaparthi S.,Mishra M.,1
179,Kim M.Y.,Moon S.,1
180,Iacobucci D.,Moon S.,1
181,Iacobucci D.,Kim M.Y.,1
182,Lang C.,Xia S.,1
183,Lang C.,Liu C.,1
184,Liu C.,Xia S.,1
185,Mao L.L.,Mao L.L.,1
186,Vail C.,Xu Z.,1
187,Kohli A.S.,Xu Z.,1
188,Tajdini S.,Xu Z.,1
189,Kohli A.S.,Vail C.,1
190,Tajdini S.,Vail C.,1
191,Kohli A.S.,Tajdini S.,1
192,Comm C.L.,Mathaisel D.F.X.,1
193,Berger J.,Packard G.,1
194,Nguyen P.,Wang X.S.,1
195,Li X.I.,Nguyen P.,1
196,Cotte J.,Nguyen P.,1
197,Li X.I.,Wang X.S.,1
198,Cotte J.,Wang X.S.,1
199,Cotte J.,Li X.I.,1
200,Verma S.,Yadav N.,1
201,Leonhardt J.M.,Pezzuti T.,1
202,Pezzuti T.,Warren C.,1
203,Leonhardt J.M.,Warren C.,1
204,Liu M.T.,Liu Y.,1
205,Liu M.T.,Mo Z.,1
206,Liu M.T.,Ng K.L.,1
207,Liu Y.,Mo Z.,1
208,Liu Y.,Ng K.L.,1
209,Mo Z.,Ng K.L.,1
210,Peng P.,Wu X.,1
211,Peng P.,Xie X.,1
212,Peng P.,Wu J.,1
213,Wu X.,Xie X.,1
214,Wu J.,Wu X.,1
215,Wu J.,Xie X.,1
216,Flowers C.,Tankard E.,1
217,Li J.,Tankard E.,1
218,Rawat D.B.,Tankard E.,1
219,Flowers C.,Li J.,1
220,Flowers C.,Rawat D.B.,1
221,Li J.,Rawat D.B.,1
222,Kim J.M.,Oh Y.K.,1
223,Goel M.,Srivastava P.,1
224,Goel M.,Singh A.,1
225,Goel M.,Mathur M.,1
226,Goel M.,Rathi K.,1
227,Singh A.,Srivastava P.,1
228,Mathur M.,Srivastava P.,1
229,Rathi K.,Srivastava P.,1
230,Mathur M.,Singh A.,1
231,Rathi K.,Singh A.,1
232,Mathur M.,Rathi K.,1
233,Singh M.,Tibrewal A.,1
234,Bedekar M.,Deodhar A.,1
235,Bedekar M.,Sakhare K.,1
236,Deodhar A.,Sakhare K.,1
237,Bajada Z.,Scerri D.,1
238,Mibu A.,Shinomiya N.,1
239,Wu G.H.,Yeh J.F.,1
240,Wang S.Y.,Yeh J.F.,1
241,Yeh C.K.,Yeh J.F.,1
242,Wang Y.Y.,Yeh J.F.,1
243,Wang S.Y.,Wu G.H.,1
244,Wu G.H.,Yeh C.K.,1
245,Wang Y.Y.,Wu G.H.,1
246,Wang S.Y.,Yeh C.K.,1
247,Wang S.Y.,Wang Y.Y.,1
248,Wang Y.Y.,Yeh C.K.,1
249,Jiang S.,Pu R.,1
250,Chavan G.,Vadalkar S.,1
251,Chaudhuri R.,Vadalkar S.,1
252,Vadalkar S.,Vrontis D.,1
253,Chaudhuri R.,Chavan G.,2
254,Chavan G.,Vrontis D.,1
255,Chaudhuri R.,Vrontis D.,1
256,Sardanelli D.,Vollero A.,1
257,Siano A.,Vollero A.,1
258,Sardanelli D.,Siano A.,1
259,Ramos R.F.,Rita P.,1
260,Moro S.,Ramos R.F.,1
261,Moro S.,Rita P.,1
262,Muñoz-Leiva F.,Rodríguez López M.E.,1
263,Liebana-Cabanillas F.,Muñoz-Leiva F.,1
264,Moro S.,Muñoz-Leiva F.,1
265,Liebana-Cabanillas F.,Rodríguez López M.E.,1
266,Moro S.,Rodríguez López M.E.,1
267,Liebana-Cabanillas F.,Moro S.,1
