,authname1,authname2,value
268,Gaynor S.R.W.,Gimpel J.G.,1
269,Burnham T.A.,Fresneda J.E.,1
270,Fresneda J.E.,Hill C.H.,1
271,Burnham T.A.,Hill C.H.,1
272,Aakash A.,Tandon A.,1
273,Aakash A.,Gupta Aggarwal A.,1
274,Gupta Aggarwal A.,Tandon A.,1
275,Du R.Y.,Netzer O.,1
276,Du R.Y.,Schweidel D.A.,1
277,Du R.Y.,Mitra D.,1
278,Netzer O.,Schweidel D.A.,2
279,Mitra D.,Netzer O.,1
280,Mitra D.,Schweidel D.A.,1
281,Delbaere M.,Michael B.,1
282,Delbaere M.,Phillips B.J.,1
283,Michael B.,Phillips B.J.,1
284,Moriuchi E.,Moriuchi E.,1
285,Bala P.K.,Ray A.,1
286,Dwivedi Y.K.,Ray A.,1
287,Bala P.K.,Dwivedi Y.K.,1
288,Martín-Santana J.D.,Romero-Domínguez L.,1
289,Romero-Domínguez L.,Sánchez-Medina A.J.,1
290,Beerli-Palacio A.,Romero-Domínguez L.,1
291,Martín-Santana J.D.,Sánchez-Medina A.J.,1
292,Beerli-Palacio A.,Martín-Santana J.D.,1
293,Beerli-Palacio A.,Sánchez-Medina A.J.,1
294,Pitt C.,Pitt C.,1
295,Nandyal S.,Tengli N.S.,1
296,Di Fraia G.,Risi E.,1
297,Huertas A.,Marine-Roig E.,1
298,Badawy W.,El-Helw A.,1
299,Badawy W.,Youssif A.,1
300,El-Helw A.,Youssif A.,1
301,Moschona D.S.,Moschona D.S.,1
302,Brandão A.M.P.C.,Santos M.V.,1
303,Ma T.M.,Yamamori K.,1
304,Ma T.M.,Thida A.,1
305,Thida A.,Yamamori K.,1
306,Luong T.h.,Shen C.w.,1
307,Ho J.t.,Shen C.w.,1
308,Djailani I.,Shen C.w.,1
309,Ho J.t.,Luong T.h.,1
310,Djailani I.,Luong T.h.,1
311,Djailani I.,Ho J.t.,1
312,Chen Y.C.,Chou S.J.,1
313,Chou S.J.,Ting V.,1
314,Chou S.J.,Weng R.C.,1
315,Chang C.M.,Chou S.J.,1
316,Chang C.L.,Chou S.J.,1
317,Chou S.J.,Wu W.H.,1
318,Chou S.J.,Wang J.H.,1
319,Chou S.J.,Wu T.D.,1
320,Chen Y.C.,Ting V.,1
321,Chen Y.C.,Weng R.C.,1
322,Chang C.M.,Chen Y.C.,1
323,Chang C.L.,Chen Y.C.,1
324,Chen Y.C.,Wu W.H.,1
325,Chen Y.C.,Wang J.H.,1
326,Chen Y.C.,Wu T.D.,1
327,Ting V.,Weng R.C.,1
328,Chang C.M.,Ting V.,1
329,Chang C.L.,Ting V.,1
330,Ting V.,Wu W.H.,1
331,Ting V.,Wang J.H.,1
332,Ting V.,Wu T.D.,1
333,Chang C.M.,Weng R.C.,1
334,Chang C.L.,Weng R.C.,1
335,Weng R.C.,Wu W.H.,1
336,Wang J.H.,Weng R.C.,1
337,Weng R.C.,Wu T.D.,1
338,Chang C.L.,Chang C.M.,1
339,Chang C.M.,Wu W.H.,1
340,Chang C.M.,Wang J.H.,1
341,Chang C.M.,Wu T.D.,1
342,Chang C.L.,Wu W.H.,1
343,Chang C.L.,Wang J.H.,1
344,Chang C.L.,Wu T.D.,1
345,Wang J.H.,Wu W.H.,1
346,Wu T.D.,Wu W.H.,1
347,Wang J.H.,Wu T.D.,1
348,Gao Z.,Lee C.C.,1
349,Lee C.C.,Tsai C.L.,1
350,Gao Z.,Tsai C.L.,1
351,Lopes R.J.,Moro S.,1
352,Esmerado J.,Moro S.,1
353,Botelho M.,Moro S.,1
354,Esmerado J.,Lopes R.J.,1
355,Botelho M.,Lopes R.J.,1
356,Botelho M.,Esmerado J.,1
357,Grüb B.,Martin S.,1
358,Arunachalam S.,Bahadir S.C.,1
359,Arunachalam S.,Bharadwaj S.G.,1
360,Arunachalam S.,Guesalaga R.,1
361,Bahadir S.C.,Bharadwaj S.G.,1
362,Bahadir S.C.,Guesalaga R.,1
363,Bharadwaj S.G.,Guesalaga R.,1
364,Hu F.,Hu F.,1
365,Schweidel D.A.,Zhong N.,1
366,Allenby G.M.,Büschken J.,1
367,Homburg C.,Theel M.,1
368,Hohenberg S.,Homburg C.,1
369,Hohenberg S.,Theel M.,1
370,Chang S.T.,Wu J.J.,1
371,Borah A.,van Dieijen M.,1
372,Tellis G.J.,van Dieijen M.,1
373,Franses P.H.,van Dieijen M.,1
374,Borah A.,Tellis G.J.,1
375,Borah A.,Franses P.H.,1
376,Franses P.H.,Tellis G.J.,1
377,Cripps H.,Singh A.,1
378,Cripps H.,Mejtoft T.,1
379,Cripps H.,Salo J.,1
380,Mejtoft T.,Singh A.,1
381,Salo J.,Singh A.,1
382,Mejtoft T.,Salo J.,1
383,Lim C.,Ryu D.H.,1
384,Kim K.J.,Ryu D.H.,1
385,Kim K.J.,Lim C.,1
386,Berni R.,Nikiforova N.D.,1
387,Berni R.,Ranfagni S.,1
388,Nikiforova N.D.,Ranfagni S.,1
389,McColl-Kennedy J.R.,Zaki M.,1
390,Guria S.,Roy A.,1
391,Halder S.,Roy A.,1
392,Banerjee S.,Roy A.,1
393,Mandal S.,Roy A.,1
394,Guria S.,Halder S.,1
395,Banerjee S.,Guria S.,1
396,Guria S.,Mandal S.,1
397,Banerjee S.,Halder S.,1
398,Halder S.,Mandal S.,1
399,Banerjee S.,Mandal S.,1
400,Ewing M.T.,Mishra S.,1
401,Guan C.,Hung Y.C.,1
402,Keel A.L.,Key T.M.,1
403,Campbell C.,Tsao H.Y.,1
404,Sands S.,Tsao H.Y.,1
405,Ferraro C.,Tsao H.Y.,1
406,Mavrommatis A.,Tsao H.Y.,1
407,Lu S.(.,Tsao H.Y.,1
408,Campbell C.,Sands S.,1
409,Campbell C.,Ferraro C.,1
410,Campbell C.,Mavrommatis A.,1
411,Campbell C.,Lu S.(.,1
412,Ferraro C.,Sands S.,1
413,Mavrommatis A.,Sands S.,1
414,Lu S.(.,Sands S.,1
415,Ferraro C.,Mavrommatis A.,1
416,Ferraro C.,Lu S.(.,1
417,Lu S.(.,Mavrommatis A.,1
418,Marinova D.,Singh S.K.,1
419,Singh J.,Singh S.K.,1
420,Marinova D.,Singh J.,1
421,Rieger V.,Winkler H.,1
422,Engelen A.,Winkler H.,1
423,Engelen A.,Rieger V.,1
424,Bal A.S.,Pitt C.,1
425,Pitt C.,Plangger K.,2
426,Bal A.S.,Plangger K.,1
427,Li Y.,Xie Y.,1
428,Milne G.R.,Villarroel Ordenes F.,1
429,Kaplan B.,Villarroel Ordenes F.,1
430,Asllani A.,Halstead D.,1
431,Asllani A.,Taylor V.A.,1
432,Halstead D.,Taylor V.A.,1
433,Kim H.J.,Park K.K.C.,1
434,Capriello A.,Hassan R.,1
435,Karimi S.,Wang F.,1
436,Barnes S.J.,Rutter R.,1
437,Barnes S.J.,Mattsson J.,1
438,Barnes S.J.,Sørensen F.,1
439,Mattsson J.,Rutter R.,1
440,Rutter R.,Sørensen F.,1
441,Mattsson J.,Sørensen F.,1
442,Duncan S.Y.,Pitt C.,1
443,Duncan S.Y.,Ferguson S.L.,1
444,Duncan S.Y.,Grant P.,1
445,Ferguson S.L.,Pitt C.,1
446,Grant P.,Pitt C.,1
447,Ferguson S.L.,Grant P.,1
448,Cheng Z.(.,Pongpatipat C.,1
449,Cheng Z.(.,Plangger K.,1
450,Cheng Z.(.,Pitt L.,1
451,Plangger K.,Pongpatipat C.,1
452,Pitt L.,Pongpatipat C.,2
453,Pitt L.,Plangger K.,1
454,Ashman R.,Perry P.,1
455,Perry P.,Stalker I.D.,1
456,Ashman R.,Stalker I.D.,1
457,Burton J.,Sidaoui K.,1
458,Sidaoui K.,Theodoulidis B.,1
459,Burton J.,Theodoulidis B.,1
460,Ajjan H.,Harrison D.E.,1
461,Boon E.,Botha E.,1
462,Cheng Z.M.,Pongpatipat C.,1
463,Cheng Z.M.,Pitt L.,1
464,Clark R.,Lappeman J.,1
465,Evans J.,Lappeman J.,1
466,Lappeman J.,Sierra-Rubia L.,1
467,Clark R.,Evans J.,1
468,Clark R.,Sierra-Rubia L.,1
469,Evans J.,Sierra-Rubia L.,1
470,Chen C.T.,Sann R.,1
471,Lai P.C.,Sann R.,1
472,Hu H.H.(.,Sann R.,1
473,Chen C.T.,Lai P.C.,1
474,Chen C.T.,Hu H.H.(.,1
475,Hu H.H.(.,Lai P.C.,1
476,Aakash,Aggarwal A.G.,1
477,Eriksson T.,Pitt C.,1
478,Eriksson T.,Plangger K.,1
479,Howarth P.,Howarth P.,1
480,Dahka Z.Y.,Hajiheydari N.,1
481,Dahka Z.Y.,Rouhani S.,1
482,Hajiheydari N.,Rouhani S.,1
483,Jena R.,Jena R.,1
484,Kong D.,Yang J.,1
485,Duan H.,Kong D.,1
486,Kong D.,Yang S.,1
487,Duan H.,Yang J.,1
488,Yang J.,Yang S.,1
489,Duan H.,Yang S.,1
490,Buzova D.,Cervera-Taulet A.,1
491,Buzova D.,Sanz-Blas S.,1
492,Cervera-Taulet A.,Sanz-Blas S.,1
493,Berger J.,Humphreys A.,1
494,Berger J.,Ludwig S.,1
495,Berger J.,Moe W.W.,1
496,Berger J.,Netzer O.,1
497,Berger J.,Schweidel D.A.,1
498,Humphreys A.,Ludwig S.,1
499,Humphreys A.,Moe W.W.,1
500,Humphreys A.,Netzer O.,1
501,Humphreys A.,Schweidel D.A.,1
502,Ludwig S.,Moe W.W.,1
503,Ludwig S.,Netzer O.,1
504,Ludwig S.,Schweidel D.A.,1
505,Moe W.W.,Netzer O.,1
506,Moe W.W.,Schweidel D.A.,1
507,Gupta V.,Mohan G.,1
508,Mohan G.,Raj A.,1
509,Kaur R.,Mohan G.,1
510,Gupta V.,Raj A.,1
511,Gupta V.,Kaur R.,1
512,Kaur R.,Raj A.,1
513,Lee D.,Liu X.,1
514,Liu X.,Srinivasan K.,1
515,Lee D.,Srinivasan K.,1
516,Pearson A.,Pearson A.,1
517,Lemaire A.,Netzer O.,1
518,Herzenstein M.,Netzer O.,1
519,Herzenstein M.,Lemaire A.,1
520,Bhattacharya A.,Misra S.,1
521,Bhattacharya A.,Sardashti H.,1
522,Misra S.,Sardashti H.,1
523,Previte J.,Robertson N.,1
524,Kalro A.D.,Srivastava V.,1
525,Aleti T.,Pallant J.I.,1
526,Aleti T.,Tuan A.,1
527,Aleti T.,van Laer T.,1
528,Pallant J.I.,Tuan A.,1
529,Pallant J.I.,van Laer T.,1
530,Tuan A.,van Laer T.,1
531,Kietzmann J.,Paschen J.,1
532,Kietzmann T.C.,Paschen J.,1
533,Kietzmann J.,Kietzmann T.C.,1
534,Oo K.K.,Sint H.S.,1
535,Oo Y.,Soe K.M.,1
536,Lee D.,Park H.,1
537,Lee D.,Lim M.,1
538,Kim J.H.,Lee D.,1
539,Lim M.,Park H.,1
540,Kim J.H.,Park H.,1
541,Kim J.H.,Lim M.,1
542,Letheren K.,Russell-Bennett R.,1
543,Letheren K.,Mulcahy R.,1
544,Letheren K.,McAndrew R.,1
545,Mulcahy R.,Russell-Bennett R.,1
546,McAndrew R.,Russell-Bennett R.,1
547,McAndrew R.,Mulcahy R.,1
548,Heinonen K.,Kunz W.H.,1
549,Kunz W.H.,Lemmink J.G.A.M.,1
550,Heinonen K.,Lemmink J.G.A.M.,1
551,Cho H.,Hwang I.,1
552,Hwang I.,Ji Y.,1
553,Hwang I.,Kim H.,1
554,Cho H.,Ji Y.,1
555,Cho H.,Kim H.,1
556,Ji Y.,Kim H.,1
557,Dotzel T.,Shankar V.,1
558,Zhang J.,Zhang J.,1
559,Nikiforova N.D.,Nikiforova N.D.,1
560,Becagli C.,Faraoni M.,1
561,Edson Escalas J.,van Laer T.,1
562,Ludwig S.,van Laer T.,1
563,Van Den Hende E.A.,van Laer T.,1
564,Edson Escalas J.,Ludwig S.,1
565,Edson Escalas J.,Van Den Hende E.A.,1
566,Ludwig S.,Van Den Hende E.A.,1
567,Gabel S.,Guhl D.,1
568,Gabel S.,Klapper D.,1
569,Guhl D.,Klapper D.,1
570,Amed S.,Mukherjee S.,1
571,Amed S.,Das P.,1
572,Amed S.,Datta B.,1
573,Das P.,Mukherjee S.,1
574,Datta B.,Mukherjee S.,1
575,Das P.,Datta B.,1
576,La L.,Xu F.,1
577,Xu F.,Zhen F.,1
578,Lobsang T.,Xu F.,1
579,Huang C.,Xu F.,1
580,La L.,Zhen F.,1
581,La L.,Lobsang T.,1
582,Huang C.,La L.,1
583,Lobsang T.,Zhen F.,1
584,Huang C.,Zhen F.,1
585,Huang C.,Lobsang T.,1
586,Mahr D.,Stead S.,1
587,Mahr D.,Odekerken-Schröder G.,1
588,Odekerken-Schröder G.,Stead S.,1
589,Guo J.,Luo H.,1
590,Guo J.,Sun Y.,1
591,Luo H.,Sun Y.,1
592,Herhausen D.,Ludwig S.,1
593,Grewal D.,Herhausen D.,1
594,Herhausen D.,Wulf J.,1
595,Herhausen D.,Schoegel M.,1
596,Grewal D.,Ludwig S.,2
597,Ludwig S.,Wulf J.,1
598,Ludwig S.,Schoegel M.,1
599,Grewal D.,Wulf J.,1
600,Grewal D.,Schoegel M.,1
601,Schoegel M.,Wulf J.,1
602,Huang L.,Mou J.,1
603,Huang L.,See-To E.W.K.,1
604,Huang L.,Kim J.,1
605,Mou J.,See-To E.W.K.,1
606,Kim J.,Mou J.,1
607,Kim J.,See-To E.W.K.,1
608,Rocklage M.D.,Rucker D.,1
609,Melumad S.,Pham M.T.,1
610,Inman J.J.,Pham M.T.,1
611,Cheng X.,Zhang L.,1
612,Zhang L.,Zhao H.,1
613,Mohanty S.,Zhang L.,1
614,Fang J.,Zhang L.,1
615,Cheng X.,Zhao H.,1
616,Cheng X.,Mohanty S.,1
617,Cheng X.,Fang J.,1
618,Mohanty S.,Zhao H.,1
619,Fang J.,Zhao H.,1
620,Fang J.,Mohanty S.,1
621,Kim H.,Park G.,1
622,Hamdan O.,Shanableh H.,1
623,Hamdan O.,Zaki I.,1
624,Al-Ali A.R.,Hamdan O.,1
625,Hamdan O.,Shanableh T.,1
626,Shanableh H.,Zaki I.,1
627,Al-Ali A.R.,Shanableh H.,1
628,Shanableh H.,Shanableh T.,1
629,Al-Ali A.R.,Zaki I.,1
630,Shanableh T.,Zaki I.,1
631,Al-Ali A.R.,Shanableh T.,1
632,Bin Ahmadon M.A.,Xie H.,2
633,Xie H.,Yamaguchi S.,2
634,Toyoshima I.,Xie H.,1
635,Bin Ahmadon M.A.,Yamaguchi S.,2
636,Bin Ahmadon M.A.,Toyoshima I.,1
637,Toyoshima I.,Yamaguchi S.,1
638,Costa A.,Guerreiro J.,1
639,Costa A.,Moro S.,1
640,Costa A.,Henriques R.,1
641,Guerreiro J.,Moro S.,1
642,Guerreiro J.,Henriques R.,1
643,Henriques R.,Moro S.,1
644,Chavan G.,Johnston W.J.,1
645,Chaudhuri R.,Johnston W.J.,1
646,Hartmann J.,Huppertz J.,1
647,Huppertz J.,Schamp C.,1
648,Heitmann M.,Huppertz J.,1
649,John D.L.,Kim E.,1
650,John D.L.,Kotian K.,1
651,John D.L.,Ong K.Y.,1
652,John D.L.,White T.,1
653,Gloukhova L.,John D.L.,1
654,John D.L.,Woodbridge D.M.K.,1
655,John D.L.,Ross N.,1
656,Kim E.,Kotian K.,1
657,Kim E.,Ong K.Y.,1
658,Kim E.,White T.,1
659,Gloukhova L.,Kim E.,1
660,Kim E.,Woodbridge D.M.K.,1
661,Kim E.,Ross N.,1
662,Kotian K.,Ong K.Y.,1
663,Kotian K.,White T.,1
664,Gloukhova L.,Kotian K.,1
665,Kotian K.,Woodbridge D.M.K.,1
666,Kotian K.,Ross N.,1
667,Ong K.Y.,White T.,1
668,Gloukhova L.,Ong K.Y.,1
669,Ong K.Y.,Woodbridge D.M.K.,1
670,Ong K.Y.,Ross N.,1
671,Gloukhova L.,White T.,1
672,White T.,Woodbridge D.M.K.,1
673,Ross N.,White T.,1
674,Gloukhova L.,Woodbridge D.M.K.,1
675,Gloukhova L.,Ross N.,1
676,Ross N.,Woodbridge D.M.K.,1
677,Ordonez A.,Paje R.,1
678,Naz R.,Ordonez A.,1
679,Naz R.,Paje R.,1
680,Bilro R.G.,Guerreiro J.,1
681,Guerreiro J.,Loureiro S.M.C.,1
682,Iyengar G.,Toubia O.,1
683,Bunnell R.,Toubia O.,1
684,Lemaire A.,Toubia O.,1
685,Bunnell R.,Iyengar G.,1
686,Iyengar G.,Lemaire A.,1
687,Bunnell R.,Lemaire A.,1
688,Grewal D.,Villarroel Ordenes F.,1
689,Ludwig S.,Villarroel Ordenes F.,1
690,Villarroel Ordenes F.,de Ruyter K.,1
691,Mahr D.,Villarroel Ordenes F.,1
692,Villarroel Ordenes F.,Wetzels M.,1
693,Grewal D.,de Ruyter K.,1
694,Grewal D.,Mahr D.,1
695,Grewal D.,Wetzels M.,1
696,Ludwig S.,de Ruyter K.,1
697,Ludwig S.,Mahr D.,1
