,authname1,authname2,value
0,Cho Y.J.,Fu P.W.,1
1,Cho Y.J.,Wu C.C.,1
2,Fu P.W.,Wu C.C.,1
3,Calheiros A.C.,Moro S.,1
4,Calheiros A.C.,Rita P.,1
5,Moro S.,Rita P.,1
6,Joshi Y.V.,Nam H.,1
7,Kannan P.K.,Nam H.,1
8,Joshi Y.V.,Kannan P.K.,1
9,Tussyadiah I.P.,Zach F.,1
10,Kim M.,Xiong G.,1
11,Kim K.H.,Kim M.,1
12,Kim K.H.,Xiong G.,1
13,Ludwig S.,Villarroel Ordenes F.,1
14,Villarroel Ordenes F.,de Ruyter K.,1
15,Grewal D.,Villarroel Ordenes F.,1
16,Villarroel Ordenes F.,Wetzels M.,1
17,Ludwig S.,de Ruyter K.,3
18,Grewal D.,Ludwig S.,1
19,Ludwig S.,Wetzels M.,2
20,Grewal D.,de Ruyter K.,1
21,Wetzels M.,de Ruyter K.,2
22,Grewal D.,Wetzels M.,1
23,Kamakura W.A.,Moon S.,1
24,Moe W.W.,Zhang Y.,1
25,Schweidel D.A.,Zhang Y.,1
26,Moe W.W.,Schweidel D.A.,1
27,Andreu L.,Bigné E.,1
28,Bigné E.,Oltra E.,1
29,Andreu L.,Oltra E.,1
30,Fresneda J.E.,Gefen D.,1
31,Afolabi I.T.,Ezenwoke A.A.,1
32,Afolabi I.T.,Ayo C.K.,1
33,Ayo C.K.,Ezenwoke A.A.,1
34,Netzer O.,Toubia O.,1
35,Buzova D.,Sanz-Blas S.,1
36,Buzova D.,Cervera-Taulet A.,1
37,Cervera-Taulet A.,Sanz-Blas S.,1
38,Nishant R.,Singh V.K.,1
39,Kitchen P.J.,Singh V.K.,1
40,Kitchen P.J.,Nishant R.,1
41,Allenby G.M.,Büschken J.,1
42,Felbermayr A.,Nanopoulos A.,1
43,Liu X.,Singh P.V.,1
44,Liu X.,Srinivasan K.,1
45,Singh P.V.,Srinivasan K.,1
46,Coussement K.,De Bock K.W.,1
47,Coussement K.,Neslin S.A.,1
48,De Bock K.W.,Neslin S.A.,1
49,Berezina K.,Bilgihan A.,1
50,Berezina K.,Cobanoglu C.,1
51,Berezina K.,Okumus F.,1
52,Bilgihan A.,Cobanoglu C.,1
53,Bilgihan A.,Okumus F.,1
54,Cobanoglu C.,Okumus F.,1
55,Johnston M.A.,Spais G.S.,1
56,Mishra A.,Moon S.,1
57,Mishra H.,Moon S.,1
58,Kang M.Y.,Moon S.,1
59,Mishra A.,Mishra H.,1
60,Kang M.Y.,Mishra A.,1
61,Kang M.Y.,Mishra H.,1
62,Sotnikova O.A.,Sotnikova O.A.,1
63,Li Y.R.,Lin Y.C.,1
64,Li Y.R.,Tsai P.H.,1
65,Li Y.R.,Wang Y.Y.,1
66,Lin Y.C.,Tsai P.H.,1
67,Lin Y.C.,Wang Y.Y.,1
68,Tsai P.H.,Wang Y.Y.,1
69,Bendle N.T.,Wang X.S.,1
70,Mai F.,Wang X.S.,1
71,Cotte J.,Wang X.S.,1
72,Bendle N.T.,Mai F.,1
73,Bendle N.T.,Cotte J.,1
74,Cotte J.,Mai F.,1
75,Wilkinson I.,Young L.,1
76,Smith A.,Young L.,1
77,Smith A.,Wilkinson I.,1
78,Van Auken S.,Van Auken S.,1
79,Guo L.,Tang C.,1
80,Hall D.,Vigar-Ellis D.,1
81,Patil V.H.,Patil V.H.,1
82,Puiu D.A.,Puiu Y.V.,1
83,Puiu Y.V.,Sablin I.V.,1
84,Georgieva E.S.,Puiu Y.V.,1
85,Bykov A.Y.,Puiu Y.V.,1
86,Puiu D.A.,Sablin I.V.,1
87,Georgieva E.S.,Puiu D.A.,1
88,Bykov A.Y.,Puiu D.A.,1
89,Georgieva E.S.,Sablin I.V.,1
90,Bykov A.Y.,Sablin I.V.,1
91,Bykov A.Y.,Georgieva E.S.,1
92,Inversini A.,Williams N.,1
93,Buhalis D.,Williams N.,1
94,Ferdinand N.,Williams N.,1
