,authname1,authname2,value
95,Buhalis D.,Inversini A.,1
96,Ferdinand N.,Inversini A.,1
97,Buhalis D.,Ferdinand N.,1
98,Esch F.R.,Neudecker N.,1
99,Neudecker N.,Schaefers T.,1
100,Neudecker N.,Valussi S.,1
101,Esch F.R.,Schaefers T.,1
102,Esch F.R.,Valussi S.,1
103,Schaefers T.,Valussi S.,1
104,Ball L.,Elworthy J.,1
105,Huber J.,Kamakura W.A.,1
106,Huber J.,Mela C.F.,1
107,Kamakura W.A.,Mela C.F.,1
108,Gemba K.,Suzuki T.,1
109,Aoyama A.,Suzuki T.,1
110,Aoyama A.,Gemba K.,1
111,Camiciottoli B.C.,Ranfagni S.,1
112,Camiciottoli B.C.,Guercini S.,1
113,Guercini S.,Ranfagni S.,1
114,Moon S.,Park Y.,1
115,Kim Y.,Moon S.,1
116,Kim Y.,Park Y.,1
117,Rese A.,Schreiber S.,1
118,Baier D.,Rese A.,1
119,Baier D.,Schreiber S.,1
120,Nguyen C.,Romaniuk J.,1
121,Hu C.,Lee C.C.,1
122,Gulas C.S.,McKeage K.K.,1
123,Stroud D.,Webber R.,1
124,Ling P.,Quek G.C.,1
125,Grewal R.,Saboo A.R.,1
126,Friedman M.,Ludwig S.,1
127,Brüggen E.C.,Ludwig S.,1
128,Ludwig S.,Pfann G.,1
129,Friedman M.,de Ruyter K.,1
130,Brüggen E.C.,de Ruyter K.,1
131,Pfann G.,de Ruyter K.,1
132,Brüggen E.C.,Friedman M.,1
133,Friedman M.,Wetzels M.,1
134,Friedman M.,Pfann G.,1
135,Brüggen E.C.,Wetzels M.,1
136,Brüggen E.C.,Pfann G.,1
137,Pfann G.,Wetzels M.,1
