"","entry_number","@_fa","affiliation_url","afid","affilname","affiliation_city","affiliation_country","continent"
"49",20,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60018353","60018353","Technische Universität Dresden","Dresden","Germany","Europe"
"50",22,NA,NA,NA,NA,NA,NA,NA
"51",22,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60190890","60190890","UNSW Business School","Kensington","Australia","Oceania"
"52",22,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60180326","60180326","Newcastle Business School","Newcastle","Australia","Oceania"
"53",23,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116755","60116755","John Molson School of Business","Montreal","Canada","Americas"
"54",23,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017062","60017062","Morgan State University","Baltimore","United States","Americas"
"55",24,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"56",25,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60025488","60025488","The University of Utah","Salt Lake City","United States","Americas"
"57",26,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60011520","60011520","King's College London","London","United Kingdom","Europe"
"58",27,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60029304","60029304","Hofstra University","Hempstead","United States","Americas"
"59",28,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60021624","60021624","The University of Toledo","Toledo","United States","Americas"
"60",28,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60020638","60020638","Winona State University","Winona","United States","Americas"
"61",29,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60107208","60107208","Sunway University","Bandar Sunway","Malaysia","Asia"
"62",29,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60071785","60071785","Sohar University","Sohar","Oman","Asia"
"63",30,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000356","60000356","University of Cape Town","Cape Town","South Africa","Africa"
"64",30,"true","https://api.elsevier.com/content/affiliation/affiliation_id/100355100","100355100","Vancouver Community College","Vancouver","Canada","Americas"
"65",31,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007511","60007511","Sungkyunkwan University","Seoul","South Korea","Asia"
"66",32,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60033420","60033420","York University","Toronto","Canada","Americas"
"67",32,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60006297","60006297","University of Pennsylvania","Philadelphia","United States","Americas"
"68",32,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60003892","60003892","Arizona State University","Tempe","United States","Americas"
"69",33,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60211905","60211905","Shailesh J. Mehta School of Management","Mumbai","India","Asia"
"70",33,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60033308","60033308","Indian Institute of Management Ahmedabad","Ahmedabad","India","Asia"
"71",33,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022123","60022123","National Institute of Industrial Engineering","Mumbai","India","Asia"
"72",34,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60273420","60273420","Stamford International University","Bangkok","Thailand","Asia"
"73",34,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60104720","60104720","University of Nottingham Ningbo China","Ningbo","China","Asia"
"74",34,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60072904","60072904","Macao Polytechnic University","Macau","Macao","Asia"
"75",34,"true","https://api.elsevier.com/content/affiliation/affiliation_id/101364513","101364513","Liming University","Quanzhou","China","Asia"
"76",35,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60003353","60003353","Harbin Engineering University","Harbin","China","Asia"
"77",36,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60068856","60068856","Tartu Ülikool","Tartu","Estonia","Europe"
"78",36,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60020513","60020513","HSE University","Moscow","Russian Federation","Europe"
"79",37,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000356","60000356","University of Cape Town","Cape Town","South Africa","Africa"
"80",37,"true","https://api.elsevier.com/content/affiliation/affiliation_id/128158317","128158317","DataEQ","Cape Town","South Africa","Africa"
"81",38,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105250","60105250","Chungbuk National University Hospital","Cheongju","South Korea","Asia"
"82",38,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007163","60007163","Hannam University","Daedok-gu","South Korea","Asia"
"83",38,"true","https://api.elsevier.com/content/affiliation/affiliation_id/129240844","129240844","Mediv Corp.","Cheongju","South Korea","Asia"
"84",40,NA,NA,NA,NA,NA,NA,NA
"85",40,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105899","60105899","NOVA Information Management School, Universidade Nova de Lisboa","Lisboa","Portugal","Europe"
"86",40,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"87",40,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60027072","60027072","Instituto Politcnico de Coimbra","Coimbra","Portugal","Europe"
"88",40,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60013944","60013944","Universidade Autónoma de Lisboa Luís de Camões","Lisbon","Portugal","Europe"
"89",41,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032259","60032259","Università degli Studi di Cagliari","Cagliari","Italy","Europe"
"90",41,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60016765","60016765","Kozminski University","Warsaw","Poland","Europe"
"91",41,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60001434","60001434","Budapesti Corvinus Egyetem","Budapest","Hungary","Europe"
"92",42,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60107578","60107578","Damietta University","Damietta","Egypt","Africa"
"93",42,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105111","60105111","China University of Petroleum (East China)","Qingdao","China","Asia"
"94",42,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60070813","60070813","University of Sharjah","Sharjah","United Arab Emirates","Asia"
"95",43,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60020975","60020975","California State University, Northridge","Northridge","United States","Americas"
"96",44,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60112699","60112699","Universidade Europeia","Lisbon","Portugal","Europe"
"97",44,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"98",44,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60002144","60002144","Universidade do Algarve","Faro","Portugal","Europe"
"99",44,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60002115","60002115","Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento em Lisboa","Lisbon","Portugal","Europe"
"100",45,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60068809","60068809","University of Kragujevac","Kragujevac","Serbia","Europe"
"101",46,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60083525","60083525","Rosen College of Hospitality Management","Orlando","United States","Americas"
"102",46,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017606","60017606","Florida Atlantic University","Boca Raton","United States","Americas"
"103",46,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007173","60007173","University of Wolverhampton","Wolverhampton","United Kingdom","Europe"
"104",47,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60025988","60025988","Universität Wien","Vienna","Austria","Europe"
