"citing_art";"scopus_id"
"SCOPUS_ID:85107472686";"141607824"
"SCOPUS_ID:85150089813";"141607824"
"SCOPUS_ID:85139115612";"141607824"
"SCOPUS_ID:85138684672";"141607824"
"SCOPUS_ID:85136591503";"141607824"
"SCOPUS_ID:85131678809";"141607824"
"SCOPUS_ID:85127334186";"141607824"
"SCOPUS_ID:85126333013";"141607824"
"SCOPUS_ID:85130623788";"141607824"
"SCOPUS_ID:85121141262";"141607824"
"SCOPUS_ID:85109633827";"141607824"
"SCOPUS_ID:85116438673";"141607824"
"SCOPUS_ID:85118220280";"141607824"
"SCOPUS_ID:85113266808";"141607824"
"SCOPUS_ID:85108170046";"141607824"
"SCOPUS_ID:85102316531";"141607824"
"SCOPUS_ID:85099389536";"141607824"
"SCOPUS_ID:85138633642";"141607824"
"SCOPUS_ID:85106315113";"141607824"
"SCOPUS_ID:85083557523";"141607824"
"SCOPUS_ID:85087421838";"141607824"
"SCOPUS_ID:85064900712";"141607824"
"SCOPUS_ID:85088942130";"141607824"
"SCOPUS_ID:85088928551";"141607824"
"SCOPUS_ID:85084418343";"141607824"
"SCOPUS_ID:85082966401";"141607824"
"SCOPUS_ID:85078887027";"141607824"
"SCOPUS_ID:85125179733";"141607824"
"SCOPUS_ID:85071944121";"141607824"
"SCOPUS_ID:85083648310";"141607824"
"SCOPUS_ID:85070983662";"141607824"
"SCOPUS_ID:85063587453";"141607824"
"SCOPUS_ID:85065283005";"141607824"
"SCOPUS_ID:85055277517";"141607824"
"SCOPUS_ID:85071937753";"141607824"
"SCOPUS_ID:85048377287";"141607824"
"SCOPUS_ID:85044845432";"141607824"
"SCOPUS_ID:85059171693";"141607824"
"SCOPUS_ID:85030455391";"141607824"
"SCOPUS_ID:85023206466";"141607824"
"SCOPUS_ID:84994761908";"141607824"
"SCOPUS_ID:85010894617";"141607824"
"SCOPUS_ID:84995685575";"141607824"
"SCOPUS_ID:84969884848";"141607824"
"SCOPUS_ID:85135121811";"24023344"
"SCOPUS_ID:85153078307";"24023344"
"SCOPUS_ID:85131678809";"24023344"
"SCOPUS_ID:85105491201";"24023344"
"SCOPUS_ID:85044845432";"24023344"
"SCOPUS_ID:85147249097";"84904163933"
"SCOPUS_ID:85059850575";"79955702502"
"SCOPUS_ID:85059696197";"79955702502"
